Title,Speaker,Date Posted,Link
3 lessons on hope in challenging times,Wajahat Ali,Mar 2022,https://www.ted.com/talks/wajahat_ali_3_lessons_on_hope_in_challenging_times
3 lessons on starting a movement from a self-defense trailblazer,Rana Abdelhamid,Apr 2019,https://www.ted.com/talks/rana_abdelhamid_3_lessons_on_starting_a_movement_from_a_self_defense_trailblazer
3 lessons on success from an Arab businesswoman,Leila Hoteit,Jul 2016,https://www.ted.com/talks/leila_hoteit_3_lessons_on_success_from_an_arab_businesswoman
3 money lessons from infamous scam artists,J Mase III,May 2023,https://www.ted.com/talks/j_mase_iii_3_money_lessons_from_infamous_scam_artists
3 moons and a planet that could have alien life,James Green,Aug 2016,https://www.ted.com/talks/james_green_3_moons_and_a_planet_that_could_have_alien_life
3 myths about racism that keep the US from progress,Candis Watts Smith,Jul 2021,https://www.ted.com/talks/candis_watts_smith_3_myths_about_racism_that_keep_the_us_from_progress
3 myths about the future of work (and why they're not true),Daniel Susskind,Mar 2018,https://www.ted.com/talks/daniel_susskind_3_myths_about_the_future_of_work_and_why_they_re_not_true
3 principles for creating safer AI,Stuart Russell,May 2017,https://www.ted.com/talks/stuart_russell_3_principles_for_creating_safer_ai
3 psychological tricks to help you save money,Wendy De La Rosa,Jan 2019,https://www.ted.com/talks/wendy_de_la_rosa_3_psychological_tricks_to_help_you_save_money
3 questions to ask yourself about US citizenship,Jose Antonio Vargas,Aug 2020,https://www.ted.com/talks/jose_antonio_vargas_3_questions_to_ask_yourself_about_us_citizenship
3 questions to ask yourself about everything you do,Stacey Abrams,Dec 2018,https://www.ted.com/talks/stacey_abrams_3_questions_to_ask_yourself_about_everything_you_do
3 questions to build resilience — and change the world,Sister True Dedication,Dec 2021,https://www.ted.com/talks/sister_true_dedication_3_questions_to_build_resilience_and_change_the_world
3 questions we should ask about nuclear weapons,Emma Belcher,Nov 2019,https://www.ted.com/talks/emma_belcher_3_questions_we_should_ask_about_nuclear_weapons
3 reasons why we can win the fight against poverty,Andrew Youn,Jun 2016,https://www.ted.com/talks/andrew_youn_3_reasons_why_we_can_win_the_fight_against_poverty
3 rules for a zero-carbon world,Nigel Topping,Jul 2021,https://www.ted.com/talks/nigel_topping_3_rules_for_a_zero_carbon_world
3 rules for better work-life balance,Ashley Whillans,Sep 2021,https://www.ted.com/talks/ashley_whillans_3_rules_for_better_work_life_balance
3 rules to help you build a successful business,Julissa Prado,Nov 2021,https://www.ted.com/talks/julissa_prado_3_rules_to_help_you_build_a_successful_business
3 secrets of resilient people,Lucy Hone,Jun 2020,https://www.ted.com/talks/lucy_hone_3_secrets_of_resilient_people
3 secrets to Netflix's success,Reed Hastings,Sep 2020,https://www.ted.com/talks/reed_hastings_3_secrets_to_netflix_s_success
3 skills every middle school boy needs,Jerome Hunter,Mar 2023,https://www.ted.com/talks/jerome_hunter_3_skills_every_middle_school_boy_needs
3 sneaky tactics that websites use to make you spend,Wendy De La Rosa,Feb 2021,https://www.ted.com/talks/wendy_de_la_rosa_3_sneaky_tactics_that_websites_use_to_make_you_spend
3 steps of anxiety overload — and how you can take back control,Lisa Damour,Feb 2023,https://www.ted.com/talks/lisa_damour_3_steps_of_anxiety_overload_and_how_you_can_take_back_control
3 steps to build peace and create meaningful change,Georgette Bennett,Nov 2022,https://www.ted.com/talks/georgette_bennett_3_steps_to_build_peace_and_create_meaningful_change
3 steps to getting what you want in a negotiation,Ruchi Sinha,Nov 2021,https://www.ted.com/talks/ruchi_sinha_3_steps_to_getting_what_you_want_in_a_negotiation
3 steps to help kids process traumatic events,Kristen Nguyen,Feb 2023,https://www.ted.com/talks/kristen_nguyen_3_steps_to_help_kids_process_traumatic_events
3 steps to stop remote work burnout,Morra Aarons-Mele,Oct 2020,https://www.ted.com/talks/morra_aarons_mele_3_steps_to_stop_remote_work_burnout
3 steps to turn everyday get-togethers into transformative gatherings,Priya Parker,Jun 2019,https://www.ted.com/talks/priya_parker_3_steps_to_turn_everyday_get_togethers_into_transformative_gatherings
"3 stories of Pakistani resilience, told in film",Jawad Sharif,Feb 2023,https://www.ted.com/talks/jawad_sharif_3_stories_of_pakistani_resilience_told_in_film
3 strategies for effectively talking about climate change,John Marshall,Apr 2021,https://www.ted.com/talks/john_marshall_3_strategies_for_effectively_talking_about_climate_change
3 things I learned from my intellectually disabled son,Emilie Weight,Jan 2018,https://www.ted.com/talks/emilie_weight_3_things_i_learned_from_my_intellectually_disabled_son
3 things men can do to promote gender equity,Jimmie Briggs,Mar 2022,https://www.ted.com/talks/jimmie_briggs_3_things_men_can_do_to_promote_gender_equity
3 things new parents should consider before going back to work,Emily Oster,Feb 2020,https://www.ted.com/talks/emily_oster_3_things_new_parents_should_consider_before_going_back_to_work
3 thoughtful ways to conserve water,Lana Mazahreh,Jan 2018,https://www.ted.com/talks/lana_mazahreh_3_thoughtful_ways_to_conserve_water
3 tips for leaders to get the future of work right,Debbie Lovich,Oct 2021,https://www.ted.com/talks/debbie_lovich_3_tips_for_leaders_to_get_the_future_of_work_right
3 tips to boost your confidence,Amy Adkins,Oct 2016,https://www.ted.com/talks/amy_adkins_3_tips_to_boost_your_confidence
3 ways businesses can fight sex trafficking,Nikki Clifton,Sep 2018,https://www.ted.com/talks/nikki_clifton_3_ways_businesses_can_fight_sex_trafficking
3 ways community creates a healthy life,Olivia Affuso,Oct 2021,https://www.ted.com/talks/olivia_affuso_3_ways_community_creates_a_healthy_life
3 ways companies can support grieving employees,Tilak Mandadi,Jan 2021,https://www.ted.com/talks/tilak_mandadi_3_ways_companies_can_support_grieving_employees
3 ways to be a better ally in the workplace,Melinda Briana Epler,Oct 2018,https://www.ted.com/talks/melinda_briana_epler_3_ways_to_be_a_better_ally_in_the_workplace
3 ways to be a more effective fundraiser,Kara Logan Berlin,Dec 2019,https://www.ted.com/talks/kara_logan_berlin_3_ways_to_be_a_more_effective_fundraiser
3 ways to build a happy marriage and avoid divorce,George Blair-West,Jan 2019,https://www.ted.com/talks/george_blair_west_3_ways_to_build_a_happy_marriage_and_avoid_divorce
"3 ways to create a space that moves you, from a Broadway set designer",David Korins,Oct 2018,https://www.ted.com/talks/david_korins_3_ways_to_create_a_space_that_moves_you_from_a_broadway_set_designer
3 ways to end a virus,TED-Ed,Dec 2022,https://www.ted.com/talks/ted_ed_3_ways_to_end_a_virus
3 ways to fix a broken news industry,Lara Setrakian,Feb 2017,https://www.ted.com/talks/lara_setrakian_3_ways_to_fix_a_broken_news_industry
"3 ways to lead tough, unavoidable conversations",Adar Cohen,Nov 2019,https://www.ted.com/talks/adar_cohen_3_ways_to_lead_tough_unavoidable_conversations
3 ways to lower the barriers to higher education,Adrian K. Haugabrook,Dec 2021,https://www.ted.com/talks/adrian_k_haugabrook_3_ways_to_lower_the_barriers_to_higher_education
3 ways to make better decisions — by thinking like a computer,Tom Griffiths,Sep 2018,https://www.ted.com/talks/tom_griffiths_3_ways_to_make_better_decisions_by_thinking_like_a_computer
3 ways to make flying more climate-friendly,Ryah Whalen,May 2022,https://www.ted.com/talks/ryah_whalen_3_ways_to_make_flying_more_climate_friendly
3 ways to measure your adaptability — and how to improve it,Natalie Fratto,Jul 2019,https://www.ted.com/talks/natalie_fratto_3_ways_to_measure_your_adaptability_and_how_to_improve_it
